Commodity Year,Commodity Name,State Abbrv,County Name,Delivery Type Code,Delivery Type Name,Insurance Plan Abbrv,Cov. Level Percent,Policies Sold,Policies Earning Prem,Policies Indemnified,Units Earning Prem,Units Indemnified,Quantity,Quantity Type,Companion/Endorsed Acres,Liabilities ($),Total Prem ($),Subsidy ($),Indemnity ($),EFA Prem Discount ($),Addnl Subsidy ($),State Subsidy ($),Earn Prem Rate,Loss Ratio
2009,RICE,CA,Butte,RBUP,Reinsured Buyup,APH,0.5,33,30,0,53,0,8544,Acres,0,5244446,119453,80038,0,0,0,0,0.022777,0
2009,RICE,CA,Butte,RBUP,Reinsured Buyup,APH,0.55,13,12,0,23,0,3172,Acres,0,2139221,49212,31495,0,0,0,0,0.023004,0
2009,RICE,CA,Butte,RBUP,Reinsured Buyup,APH,0.6,22,18,0,37,0,6909,Acres,0,5365962,139541,89306,0,0,0,0,0.026004,0
2009,RICE,CA,Butte,RBUP,Reinsured Buyup,APH,0.65,37,28,0,49,0,9487,Acres,0,7309801,238189,140533,0,0,0,0,0.032584,0
2009,RICE,CA,Butte,RBUP,Reinsured Buyup,APH,0.7,42,31,0,61,0,11688,Acres,0,9992245,399501,235705,0,0,0,0,0.039981,0
2009,RICE,CA,Butte,RBUP,Reinsured Buyup,APH,0.75,82,70,0,147,0,23478,Acres,0,21528838,1058306,582073,0,0,0,0,0.049157,0
2009,RICE,CA,Butte,RBUP,Reinsured Buyup,APH,0.8,8,5,0,7,0,1156,Acres,0,1029496,71970,34546,0,0,0,0,0.069907,0
2009,RICE,CA,Butte,RBUP,Reinsured Buyup,APH,0.85,15,9,0,12,0,817,Acres,0,795626,63395,24090,0,0,0,0,0.079679,0
2009,RICE,CA,Butte,RBUP,Reinsured Buyup,CRC,0.6,1,1,0,1,0,162,Acres,0,97897,4513,2888,0,0,0,0,0.046099,0
2009,RICE,CA,Butte,RBUP,Reinsured Buyup,CRC,0.8,1,1,0,2,0,475,Acres,0,448425,40631,19503,0,0,0,0,0.090608,0
2009,RICE,CA,Butte,RCAT,Reinsured Catastrophic,APH,0.5,74,61,0,73,0,30800,Acres,0,9928801,216136,216136,0,0,0,0,0.021768,0
2009,RICE,CA,Colusa,RBUP,Reinsured Buyup,APH,0.5,73,62,0,120,0,17754,Acres,0,9429079,229717,153907,0,0,0,0,0.024362,0
2009,RICE,CA,Colusa,RBUP,Reinsured Buyup,APH,0.55,8,8,0,14,0,2033,Acres,0,1324936,30989,19833,0,0,0,0,0.023389,0
2009,RICE,CA,Colusa,RBUP,Reinsured Buyup,APH,0.6,25,22,0,59,0,5428,Acres,0,3837533,106109,67911,0,0,0,0,0.02765,0
2009,RICE,CA,Colusa,RBUP,Reinsured Buyup,APH,0.65,41,35,1,64,1,12725,Acres,0,9497875,309622,182676,36086,0,0,0,0.032599,0.116548
2009,RICE,CA,Colusa,RBUP,Reinsured Buyup,APH,0.7,73,65,2,178,2,24022,Acres,0,18967861,759311,447994,13187,0,0,0,0.040031,0.017367
2009,RICE,CA,Colusa,RBUP,Reinsured Buyup,APH,0.75,63,52,2,149,2,19059,Acres,0,16603760,815997,448807,27830,0,0,0,0.049145,0.034105
2009,RICE,CA,Colusa,RBUP,Reinsured Buyup,APH,0.8,15,14,0,19,0,2622,Acres,0,2203457,155145,74467,0,0,0,0,0.070409,0
2009,RICE,CA,Colusa,RBUP,Reinsured Buyup,APH,0.85,24,18,0,39,0,5926,Acres,0,5843870,449294,170730,0,0,0,0,0.076882,0
2009,RICE,CA,Colusa,RBUP,Reinsured Buyup,CRC,0.6,1,1,0,1,0,19,Acres,0,12053,522,334,0,0,0,0,0.043308,0
2009,RICE,CA,Colusa,RBUP,Reinsured Buyup,CRC,0.7,2,1,0,1,0,7,Acres,0,4531,224,132,0,0,0,0,0.049437,0
2009,RICE,CA,Colusa,RBUP,Reinsured Buyup,CRC,0.75,2,2,0,2,0,5,Acres,0,3740,317,174,0,0,0,0,0.084759,0
2009,RICE,CA,Colusa,RBUP,Reinsured Buyup,CRC,0.8,1,0,0,0,0,0,Acres,0,0,0,0,0,0,0,0,0,0
2009,RICE,CA,Colusa,RCAT,Reinsured Catastrophic,APH,0.5,122,97,0,125,0,32146,Acres,0,10117120,210996,210996,0,0,0,0,0.020855,0
2009,RICE,CA,Fresno,RBUP,Reinsured Buyup,APH,0.5,1,0,0,0,0,0,Acres,0,0,0,0,0,0,0,0,0,0
2009,RICE,CA,Fresno,RCAT,Reinsured Catastrophic,APH,0.5,7,4,0,4,0,2130,Acres,0,571083,16062,16062,0,0,0,0,0.028125,0
2009,RICE,CA,Glenn,RBUP,Reinsured Buyup,APH,0.5,18,16,0,22,0,3198,Acres,0,1981163,41831,28026,0,0,0,0,0.021114,0
2009,RICE,CA,Glenn,RBUP,Reinsured Buyup,APH,0.55,2,1,0,5,0,405,Acres,0,279982,7118,4554,0,0,0,0,0.025423,0
2009,RICE,CA,Glenn,RBUP,Reinsured Buyup,APH,0.6,13,10,0,20,0,2746,Acres,0,2035582,55877,35763,0,0,0,0,0.02745,0
2009,RICE,CA,Glenn,RBUP,Reinsured Buyup,APH,0.65,48,41,0,82,0,10962,Acres,0,8257139,265070,156393,0,0,0,0,0.032101,0
2009,RICE,CA,Glenn,RBUP,Reinsured Buyup,APH,0.7,32,28,1,44,1,8363,Acres,0,6838591,275676,162648,38081,0,0,0,0.040311,0.138136
2009,RICE,CA,Glenn,RBUP,Reinsured Buyup,APH,0.75,27,15,0,19,0,4076,Acres,0,3660436,178005,97902,0,0,0,0,0.048629,0
2009,RICE,CA,Glenn,RBUP,Reinsured Buyup,APH,0.8,6,5,0,6,0,888,Acres,0,733297,54546,26181,0,0,0,0,0.074384,0
2009,RICE,CA,Glenn,RBUP,Reinsured Buyup,APH,0.85,3,2,1,2,1,351,Acres,0,313402,24560,9333,24770,0,0,0,0.078365,1.00855
2009,RICE,CA,Glenn,RBUP,Reinsured Buyup,CRC,0.7,1,0,0,0,0,,Acres,0,0,0,0,0,0,0,0,0,0
2009,RICE,CA,Glenn,RCAT,Reinsured Catastrophic,APH,0.5,111,99,0,137,0,35023,Acres,0,11309664,235689,235689,0,0,0,0,0.020839,0
2009,RICE,CA,Merced,RBUP,Reinsured Buyup,APH,0.65,3,3,2,3,2,69,Acres,0,40678,1735,1024,10931,0,0,0,0.042652,6.300288
2009,RICE,CA,Merced,RBUP,Reinsured Buyup,APH,0.7,2,2,2,11,5,1038,Acres,0,731915,32246,19026,111922,0,0,0,0.044057,3.47088
2009,RICE,CA,Merced,RCAT,Reinsured Catastrophic,APH,0.5,6,1,0,1,0,683,Acres,0,215647,4995,4995,0,0,0,0,0.023162,0
2009,RICE,CA,Placer,RBUP,Reinsured Buyup,APH,0.5,6,6,0,9,0,1645,Acres,0,961976,24784,16604,0,0,0,0,0.025763,0
2009,RICE,CA,Placer,RBUP,Reinsured Buyup,APH,0.55,1,1,0,1,0,15,Acres,0,7508,348,223,0,0,0,0,0.04635,0
2009,RICE,CA,Placer,RBUP,Reinsured Buyup,APH,0.6,1,1,0,1,0,166,Acres,0,117867,3600,2304,0,0,0,0,0.030542,0
2009,RICE,CA,Placer,RBUP,Reinsured Buyup,APH,0.65,2,1,0,2,0,485,Acres,0,381909,14090,8313,0,0,0,0,0.036893,0
2009,RICE,CA,Placer,RBUP,Reinsured Buyup,APH,0.7,6,6,0,8,0,1239,Acres,0,915839,45329,26744,0,0,0,0,0.049494,0
2009,RICE,CA,Placer,RBUP,Reinsured Buyup,APH,0.75,5,5,0,10,0,619,Acres,0,506106,32783,18031,0,0,0,0,0.064774,0
2009,RICE,CA,Placer,RBUP,Reinsured Buyup,APH,0.8,2,2,0,6,0,800,Acres,0,687411,56646,27190,0,0,0,0,0.082404,0
2009,RICE,CA,Placer,RBUP,Reinsured Buyup,APH,0.85,5,3,1,10,1,2544,Acres,0,1913261,159200,60497,18970,0,0,0,0.083208,0.119158
