Year,StateCode,StateAbb,CountyCode,CountyName,CommodityCode,CommodityName,InsurancePlanCode,InsurancePlanAbb,CoverageCategory,StageCode,CauseOfLossCode,CauseOfLossDescription,MonthOfLoss,MonthOfLossName,YearOfLoss,PoliciesEarningPremium,PoliciesIndemnified,NetPlantedAcres,NetEndorsedAcres,Liability,TotalPremium,ProducerPaidPremium,Subsidy,PrivateSubsidy,AdditionalSubsidy,EFAPremiumDiscount,NetAcresLoss,Indemnity,IndemnityByPremium
2009,6,CA,11,Colusa                        ,18,RICE                          ,90,,A,H ,12,Heat,7,JUL,2009,1,1,351,0,252541,14566,6555,8011,0,0,0,351,25267,1.73
2009,6,CA,11,Colusa                        ,18,RICE                          ,90,,A,P2,13,Failure of Irrigation Supply,5,MAY,2009,1,1,93.7,0,36086,2060,845,1215,0,0,0,93.7,36086,17.52
2009,6,CA,11,Colusa                        ,18,RICE                          ,90,,A,H ,61,Wind/Excess Wind                                                                                    ,6,JUN,2009,2,2,305.5,0,243370,10090,4137,5953,0,0,0,309.4,13187,1.31
2009,6,CA,11,Colusa                        ,18,RICE                          ,90,,A,H ,61,Wind/Excess Wind                                                                                    ,4,APR,2009,1,1,78,0,60101,3802,1711,2091,0,0,0,78,2563,0.67
2009,6,CA,21,Glenn                         ,18,RICE                          ,90,,A,P2,13,Failure of Irrigation Supply,1,JAN,2009,1,1,63.64,0,24770,4671,2896,1775,0,0,0,63.64,24770,5.3
2009,6,CA,21,Glenn                         ,18,RICE                          ,90,,A,PT,13,Failure of Irrigation Supply,1,JAN,2009,1,1,78,0,38081,2515,1031,1484,0,0,0,78,38081,15.14
2009,6,CA,47,Merced                        ,18,RICE                          ,90,,A,PT,13,Failure of Irrigation Supply,5,MAY,2009,4,4,280.5,0,122853,8911,3654,5257,0,0,0,280.5,122853,13.79
2009,6,CA,49,Modoc                         ,55,RICE                          ,90,,A,H ,21,Hail,6,JUN,2009,1,1,30,0,24300,3104,1397,1707,0,0,0,30,21674,6.98
2009,6,CA,61,Placer                        ,18,RICE                          ,90,,A,H ,31,Excess Moisture/Precipitation/Rain,8,AUG,2009,1,1,80.85,0,47350.05,3872,2400.75,1471.25,0,0,0,80.85,10433.5,2.69
2009,6,CA,61,Placer                        ,18,RICE                          ,90,,A,H ,61,Wind/Excess Wind                                                                                    ,8,AUG,2009,1,1,66.15,0,38740.95,3168,1964.25,1203.75,0,0,0,66.15,8536.5,2.69
2009,6,CA,77,San Joaquin                   ,18,RICE                          ,90,,A,H ,44,Cold Wet Weather,8,AUG,2009,1,1,38,0,41319,2452,1275,1177,0,0,0,39.9,2618,1.07
2009,6,CA,77,San Joaquin                   ,18,RICE                          ,44,,A,R ,61,Wind/Excess Wind                                                                                    ,5,MAY,2009,1,1,271.4,0,205285,21255,9565,11690,0,0,0,100.4,5261,0.25
2009,6,CA,101,Sutter                        ,18,RICE                          ,90,,C,H ,12,Heat,6,JUN,2009,1,1,22,0,6982.25,154.55,0,154.55,0,0,0,22,4120.05,26.66
2009,6,CA,101,Sutter                        ,18,RICE                          ,90,,A,H ,12,Heat,6,JUN,2009,1,1,318,0,204464,13984,7272,6712,0,0,0,318,53080.8,3.8
2009,6,CA,101,Sutter                        ,18,RICE                          ,90,,C,H ,12,Heat,7,JUL,2009,2,2,150,0,54224,1015,0,1015,0,0,0,150,1539,1.52
2009,6,CA,101,Sutter                        ,18,RICE                          ,90,,A,PT,13,Failure of Irrigation Supply,1,JAN,2009,1,1,75,0,38063,4877,2536,2341,0,0,0,75,38063,7.8
2009,6,CA,101,Sutter                        ,18,RICE                          ,90,,A,H ,31,Excess Moisture/Precipitation/Rain,7,JUL,2009,1,1,79.5,0,51116,3496,1818,1678,0,0,0,79.5,13270.2,3.8
2009,6,CA,101,Sutter                        ,18,RICE                          ,90,,A,H ,31,Excess Moisture/Precipitation/Rain,10,OCT,2009,2,2,511.3,0,413511,37766,22690,15076,0,0,0,511.3,58712,1.55
2009,6,CA,101,Sutter                        ,18,RICE                          ,90,,C,H ,31,Excess Moisture/Precipitation/Rain,9,SEP,2009,1,1,18,0,5712.75,126.45,0,126.45,0,0,0,18,3370.95,26.66
2009,6,CA,101,Sutter                        ,18,RICE                          ,90,,A,H ,43,Cold Winter,10,OCT,2009,1,1,60,0,37332,1532,689,843,0,0,0,60,9780,6.38
2009,6,CA,101,Sutter                        ,18,RICE                          ,90,,A,H ,99,"Other (Snow,Lightning,etc)                                                                        ",6,JUN,2009,1,1,255,0,230106,16582,8623,7959,0,0,0,255,41144,2.48
2009,6,CA,101,Sutter                        ,18,RICE                          ,90,,A,H ,99,"Other (Snow,Lightning,etc)                                                                        ",9,SEP,2009,1,1,53.25,0,49130,3116,1620,1496,0,0,0,53.25,16131,5.18
2009,6,CA,113,Yolo                          ,18,RICE                          ,90,,C,P2,13,Failure of Irrigation Supply,1,JAN,2009,1,1,15,0,2022,113,0,113,0,0,0,15,2022,17.89
2009,6,CA,113,Yolo                          ,18,RICE                          ,90,,A,P2,13,Failure of Irrigation Supply,1,JAN,2009,4,4,2730.4,0,1099509,191002,113860,77142,0,0,0,2730.4,1099509,5.76
2009,6,CA,113,Yolo                          ,18,RICE                          ,90,,A,P2,13,Failure of Irrigation Supply,5,MAY,2009,5,5,1578.63,0,659103,121698,75453,46245,0,0,0,1578.63,659103,5.42
2009,6,CA,113,Yolo                          ,18,RICE                          ,90,,A,H ,31,Excess Moisture/Precipitation/Rain,10,OCT,2009,4,4,684.8,0,585396.3,36573.8,16315.8,20258,0,0,0,694.01,98275.65,2.69
2009,6,CA,113,Yolo                          ,18,RICE                          ,90,,A,H ,61,Wind/Excess Wind                                                                                    ,10,OCT,2009,2,2,312.3,0,269804.7,18556.2,8350.2,10206,0,0,0,319.59,72280.35,3.9
2009,6,CA,113,Yolo                          ,55,RICE                          ,90,,C,H ,61,Wind/Excess Wind                                                                                    ,7,JUL,2009,1,1,52.5,0,17047.8,395.4,0,395.4,0,0,0,52.5,15574.2,39.39
2009,6,CA,113,Yolo                          ,55,RICE                          ,90,,C,H ,93,Wildlife,7,JUL,2009,1,1,35,0,11365.2,263.6,0,263.6,0,0,0,35,10382.8,39.39
2010,6,CA,99,Stanislaus                    ,18,RICE                          ,90,,A,P2,31,Excess Moisture/Precipitation/Rain,5,MAY,2010,1,1,16,0,4290,269,97,172,0,0,0,16,4290,15.95
2010,6,CA,101,Sutter                        ,18,RICE                          ,90,,A,PT,31,Excess Moisture/Precipitation/Rain,4,APR,2010,8,8,825.19,0,278701.8,17670.4,7125.4,10545,0,0,0,826.09,278701.8,15.77
2010,6,CA,101,Sutter                        ,18,RICE                          ,90,,C,P2,31,Excess Moisture/Precipitation/Rain,4,APR,2010,1,1,51.09,0,4634,156,0,156,0,0,0,51.09,4634,29.71
2010,6,CA,101,Sutter                        ,18,RICE                          ,90,,A,H ,31,Excess Moisture/Precipitation/Rain,6,JUN,2010,1,1,18.3,0,13363,794,357,437,0,0,0,18.3,7755,9.77
2010,6,CA,101,Sutter                        ,18,RICE                          ,90,,A,PT,31,Excess Moisture/Precipitation/Rain,5,MAY,2010,5,5,429.16,0,147302.2,7911.6,3082.6,4829,0,0,0,429.76,147302.2,18.62
2010,6,CA,101,Sutter                        ,18,RICE                          ,90,,A,H ,44,Cold Wet Weather,8,AUG,2010,2,2,324,0,191149,9855,4370,5485,0,0,0,324,75481,7.66
2010,6,CA,101,Sutter                        ,55,RICE                          ,90,,A,H ,93,Wildlife,8,AUG,2010,1,1,40.6,0,21826,795,326,469,0,0,0,40.6,12968,16.31
2010,6,CA,103,Tehama                        ,18,RICE                          ,90,,A,P2,31,Excess Moisture/Precipitation/Rain,5,MAY,2010,1,1,142.5,0,43278,4452,2003,2449,0,0,0,142.5,43278,9.72
2010,6,CA,103,Tehama                        ,18,RICE                          ,90,,A,PT,31,Excess Moisture/Precipitation/Rain,4,APR,2010,2,2,97.7,0,33845,2483,1018,1465,0,0,0,97.7,33845,13.63
2010,6,CA,113,Yolo                          ,18,RICE                          ,90,,A,UH,12,Heat,6,JUN,2010,1,1,54.65,0,25293.5,1989,895,1094,0,0,0,79.3,35853,18.03
2010,6,CA,113,Yolo                          ,18,RICE                          ,90,,C,P2,31,Excess Moisture/Precipitation/Rain,6,JUN,2010,1,1,230.6,0,11963,1488,0,1488,0,0,0,230.6,11963,8.04
2010,6,CA,113,Yolo                          ,18,RICE                          ,90,,A,PT,31,Excess Moisture/Precipitation/Rain,5,MAY,2010,1,1,96.97,0,28129,1557,514,1043,0,0,0,96.97,28129,18.07
2010,6,CA,113,Yolo                          ,18,RICE                          ,90,,A,P2,31,Excess Moisture/Precipitation/Rain,4,APR,2010,2,2,70.45,0,8068,512.5,171.5,341,0,0,0,97.9,11196,21.85
2010,6,CA,113,Yolo                          ,18,RICE                          ,90,,A,PT,31,Excess Moisture/Precipitation/Rain,4,APR,2010,4,4,1240.4,0,425058,25657,9982,15675,0,0,0,1240.4,425058,16.57
2010,6,CA,113,Yolo                          ,18,RICE                          ,90,,A,H ,44,Cold Wet Weather,6,JUN,2010,3,3,547.14,0,412464,30000,17147,12853,0,0,0,552.88,77599,2.59
2010,6,CA,113,Yolo                          ,18,RICE                          ,90,,A,H ,44,Cold Wet Weather,7,JUL,2010,2,2,445.05,0,260125,15174,6649,8525,0,0,0,471.4,40180,2.65
2010,6,CA,113,Yolo                          ,18,RICE                          ,90,,A,H ,44,Cold Wet Weather,8,AUG,2010,8,8,1860.2,0,1140082.5,71762.5,31425,40337.5,0,0,0,1883.2,411172,5.73
2010,6,CA,115,Yuba                          ,18,RICE                          ,90,,A,H ,12,Heat,7,JUL,2010,1,1,124,0,107014,8535,5292,3243,0,0,0,124,5649,0.66
2010,6,CA,115,Yuba                          ,18,RICE                          ,90,,A,H ,31,Excess Moisture/Precipitation/Rain,9,SEP,2010,1,1,220,0,107964,3069,1013,2056,0,0,0,220,12367,4.03
2010,6,CA,115,Yuba                          ,18,RICE                          ,90,,A,PT,31,Excess Moisture/Precipitation/Rain,6,JUN,2010,1,1,38,0,13183,1668,751,917,0,0,0,38,13183,7.9
2011,6,CA,7,Butte                         ,18,RICE                          ,1,YP        ,C,H ,21,Hail,10,OCT,2011,1,1,406.8,0,140956,2814,0,2814,0,0,0,106.8,10546,3.75
2011,6,CA,7,Butte                         ,18,RICE                          ,1,YP        ,C,UH,21,Hail,10,OCT,2011,1,1,813.6,0,281912,5628,0,5628,0,0,0,25.1,8069,1.43
2011,6,CA,7,Butte                         ,18,RICE                          ,1,YP        ,A,P2,31,Excess Moisture/Precipitation/Rain,5,MAY,2011,1,1,1124.08,0,949308.8,28560.8,11709.6,16851.2,0,0,0,103.84,50321.6,1.76
2011,6,CA,7,Butte                         ,18,RICE                          ,1,YP        ,A,P2,31,Excess Moisture/Precipitation/Rain,6,JUN,2011,1,1,281.02,0,237327.2,7140.2,2927.4,4212.8,0,0,0,25.96,12580.4,1.76
2011,6,CA,7,Butte                         ,18,RICE                          ,1,YP        ,A,H ,44,Cold Wet Weather,9,SEP,2011,2,2,132.45,0,120112,7790,3506,4284,0,0,0,132.45,36128,4.64
2011,6,CA,21,Glenn                         ,18,RICE                          ,1,YP        ,A,PT,31,Excess Moisture/Precipitation/Rain,5,MAY,2011,1,1,630.4,0,603820,27905,12557,15348,0,0,0,124,71671,2.57
2011,6,CA,61,Placer                        ,18,RICE                          ,2,RP        ,A,PT,31,Excess Moisture/Precipitation/Rain,4,APR,2011,2,2,274.626,0,128840,14784,6105,8679,0,0,0,208.326,83773,5.67
2011,6,CA,61,Placer                        ,18,RICE                          ,1,YP        ,A,PT,31,Excess Moisture/Precipitation/Rain,4,APR,2011,5,5,2707.5,0,1100963,152037,76045,75992,0,0,0,2051.074,779801,5.13
2011,6,CA,77,San Joaquin                   ,18,RICE                          ,1,YP        ,A,H ,12,Heat,6,JUN,2011,1,1,74.415,0,73490.34,5759.16,2994.75,2764.41,0,0,0,74.415,24823.26,4.31
2011,6,CA,77,San Joaquin                   ,18,RICE                          ,1,YP        ,A,H ,44,Cold Wet Weather,6,JUN,2011,1,1,74.415,0,73490.34,5759.16,2994.75,2764.41,0,0,0,74.415,24823.26,4.31
2011,6,CA,77,San Joaquin                   ,18,RICE                          ,1,YP        ,A,H ,93,Wildlife,5,MAY,2011,1,1,76.67,0,75717.32,5933.68,3085.5,2848.18,0,0,0,76.67,25575.48,4.31
2011,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,H ,31,Excess Moisture/Precipitation/Rain,6,JUN,2011,4,4,355.2,0,199306,8623,3513,5110,0,0,0,355.2,66137,7.67
2011,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,PT,31,Excess Moisture/Precipitation/Rain,5,MAY,2011,4,4,1700.1,0,930698,79221,35147,44074,0,0,0,1440.7,666780,8.42
2011,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,H ,61,Wind/Excess Wind,5,MAY,2011,1,1,205,0,228890,17664,10952,6712,0,0,0,205,4832,0.27
2011,6,CA,101,Sutter                        ,55,RICE                          ,90,APH       ,A,H ,12,Heat,6,JUN,2011,1,1,80.9,0,41793,1777,800,977,0,0,0,80.9,32219,18.13
2011,6,CA,113,Yolo                          ,18,RICE                          ,2,RP        ,A,PT,31,Excess Moisture/Precipitation/Rain,5,MAY,2011,3,3,439.904,0,228219.44,26670.22,10934.72,15735.5,0,0,0,324.899,145324.04,5.45
2011,6,CA,113,Yolo                          ,18,RICE                          ,2,RP        ,A,PT,31,Excess Moisture/Precipitation/Rain,6,JUN,2011,2,2,230.496,0,130263.56,11917.78,4886.28,7031.5,0,0,0,120.001,50618.96,4.25
2011,6,CA,113,Yolo                          ,18,RICE                          ,1,YP        ,A,PT,31,Excess Moisture/Precipitation/Rain,3,MAR,2011,1,1,223.3,0,109831,10365,4250,6115,0,0,0,223.3,38441,3.71
2011,6,CA,113,Yolo                          ,18,RICE                          ,1,YP        ,A,PT,31,Excess Moisture/Precipitation/Rain,6,JUN,2011,4,4,593.262,0,383585.06,28752.14,12414.46,16337.68,0,0,0,260.887,121656.95,4.23
2011,6,CA,113,Yolo                          ,18,RICE                          ,1,YP        ,A,H ,31,Excess Moisture/Precipitation/Rain,6,JUN,2011,1,1,201.5,0,199710,12138,5462,6676,0,0,0,201.5,84482,6.96
2011,6,CA,113,Yolo                          ,18,RICE                          ,1,YP        ,A,PT,31,Excess Moisture/Precipitation/Rain,5,MAY,2011,3,3,385.713,0,274325.94,23860.86,10737.54,13123.32,0,0,0,207.213,103303.05,4.33
2012,6,CA,11,Colusa                        ,18,RICE                          ,1,YP        ,A,R ,61,Wind/Excess Wind,6,JUN,2012,1,1,170.8,0,155039,7578,3410,4168,0,0,0,31.2,1835,0.24
2012,6,CA,49,Modoc                         ,55,RICE                          ,90,APH       ,A,H ,44,Cold Wet Weather,5,MAY,2012,1,1,262.4,0,103910.4,13814.4,4973.4,8841,0,0,0,262.4,80244.6,5.81
