Year,CountyCode,CountyName,CauseOfLossCode,CauseOfLossDescription,MonthOfLoss,MonthOfLossName,PoliciesEarningPremium,PoliciesIndemnified,NetPlantedAcres,Liability,TotalPremium,NetAcresLoss,Indemnity,IndemnityByPremium
1995,7,Butte                         ,31,Excess Moisture/Precipitation/Rain                                                                  ,5,MAY,7,7,667.88,50166,1481,667.8752,49923,33.71
1995,7,Butte                         ,31,Excess Moisture/Precipitation/Rain                                                                  ,4,APR,1,1,45.47,3596,105,45.4748,3562,33.92
1995,7,Butte                         ,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,2,2,306.25,18450,587,306.25,18453,31.44
1995,7,Butte                         ,44,Cold Wet Weather                                                                                    ,3,MAR,1,1,91.84,7578.9,194.6,91.84,7578.9,38.95
1995,7,Butte                         ,51,Flood                                                                                               ,3,MAR,1,1,39.36,3248.1,83.4,39.36,3248.1,38.95
1995,21,Glenn                         ,31,Excess Moisture/Precipitation/Rain                                                                  ,1,JAN,1,1,124.1,10032,258,124.1,10032,38.88
1995,21,Glenn                         ,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,1,1,105.5,10035,224,105.5,10036,44.8
1995,67,Sacramento                    ,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,1,1,89.4,7138,195,89.4,2659,13.64
1995,101,Sutter                        ,31,Excess Moisture/Precipitation/Rain                                                                  ,1,JAN,1,1,240.93,37816,511,154.3,10789,21.11
1995,103,Tehama                        ,44,Cold Wet Weather                                                                                    ,4,APR,1,1,56.9,5799,120,56.9,354,2.95
1995,113,Yolo                          ,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,4,4,312.492,13103.2,875,312.492,13063.2,14.93
1995,113,Yolo                          ,31,Excess Moisture/Precipitation/Rain                                                                  ,1,JAN,4,1,404.768,31497.2,817.2,341.264,13741.6,16.82
1995,113,Yolo                          ,31,Excess Moisture/Precipitation/Rain                                                                  ,1,JAN,3,0,194.4,17755.6,370,163.968,0,0
1995,113,Yolo                          ,51,Flood                                                                                               ,3,MAR,3,0,48.6,4438.9,92.5,40.992,0,0
1995,113,Yolo                          ,51,Flood                                                                                               ,3,MAR,4,3,114.34,8733.1,232.3,98.464,4294.2,18.49
1995,115,Yuba                          ,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,1,1,124,14508,261,124,3091,11.84
1995,115,Yuba                          ,31,Excess Moisture/Precipitation/Rain                                                                  ,8,AUG,2,2,13.53,1925.6,26,13.53,95.2,3.66
1995,115,Yuba                          ,81,Plant Disease                                                                                       ,8,AUG,2,2,121.77,17330.4,234,121.77,856.8,3.66
1996,7,Butte                         ,12,Heat                                                                                                ,7,JUL,2,2,133.2,21565,369,133.2,4822,13.07
1996,11,Colusa                        ,12,Heat                                                                                                ,8,AUG,2,2,163,76915,1731,163,22640,13.08
1997,21,Glenn                         ,81,Plant Disease                                                                                       ,2,FEB,1,1,113,61752,1723,113,3640,2.11
1997,103,Tehama                        ,51,Flood                                                                                               ,1,JAN,1,1,91.8,7954,327,91.8,7954,24.32
1998,7,Butte                         ,12,Heat                                                                                                ,7,JUL,1,1,134.25,28223,544.5,134.25,5969.5,10.96
1998,7,Butte                         ,31,Excess Moisture/Precipitation/Rain                                                                  ,4,APR,1,1,621.7,136572,2576,63.7,7334,2.85
1998,7,Butte                         ,31,Excess Moisture/Precipitation/Rain                                                                  ,5,MAY,3,3,600.3,199055,7370,421.2,100211,13.6
1998,7,Butte                         ,31,Excess Moisture/Precipitation/Rain                                                                  ,5,MAY,7,7,1204.19,384741,18300,932,269744,14.74
1998,7,Butte                         ,31,Excess Moisture/Precipitation/Rain                                                                  ,5,MAY,2,2,913.1,293211,6773,366,67912,10.03
1998,7,Butte                         ,31,Excess Moisture/Precipitation/Rain                                                                  ,5,MAY,10,10,8086.27,2868135,61534,2419.3,541568,8.8
1998,7,Butte                         ,31,Excess Moisture/Precipitation/Rain                                                                  ,0,   ,1,1,134.25,28223,544.5,55.1,-3175,-5.83
1998,7,Butte                         ,31,Excess Moisture/Precipitation/Rain                                                                  ,5,MAY,31,31,8462.94,1696397,35173,2506.4579,267497,7.61
1998,7,Butte                         ,31,Excess Moisture/Precipitation/Rain                                                                  ,7,JUL,1,1,134.25,28223,544.5,79.15,9144.5,16.79
1998,7,Butte                         ,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,4,4,1288.76,256246,5483,349.764,37484,6.84
1998,11,Colusa                        ,12,Heat                                                                                                ,7,JUL,1,1,279,157607,3759,279.8,66192,17.61
1998,11,Colusa                        ,31,Excess Moisture/Precipitation/Rain                                                                  ,5,MAY,3,3,843.4,472062,17030,1071.9753,82212,4.83
1998,11,Colusa                        ,31,Excess Moisture/Precipitation/Rain                                                                  ,2,FEB,1,1,153.5,33340,2601,153.4,33319,12.81
1998,11,Colusa                        ,31,Excess Moisture/Precipitation/Rain                                                                  ,5,MAY,1,1,268.1,70591,4194,268.1,70591,16.83
1998,11,Colusa                        ,31,Excess Moisture/Precipitation/Rain                                                                  ,5,MAY,16,16,2716.21,1124289,53991.5,1931.6702,616488,11.42
