,January,February,March,April,May,June,July,August,September,October,November,December
2009,1.94,8.03,4.57,1.16,2.58,1.3,0.02,0.14,0.13,3.28,1.73,4.34
2010,9.41,4.78,3.69,5.5,2.23,0.4,0.06,0.2,0.3,4.78,4.42,10.39
2011,1.69,5.53,10.72,2.03,3.09,2.07,0.04,0,0.19,2.45,2.18,0.31
2012,5.42,2.11,8.9,4.08,0.48,0.66,0.06,0.05,0.02,1.74,7.79,11.1
2013,1.34,0.67,2.21,1.34,1.17,1.14,0.14,0.17,1.27,0.37,1.4,0.51
2014,0.84,7.85,6.38,1.63,0.57,0.08,0.13,0.43,1.11,1.85,3.48,11.76
2015,0.28,4.86,0.86,1.9,1.3,0.41,0.47,0.06,0.37,0.91,2.93,7.49
2016,10.63,1.74,9.67,1.95,1.65,0.69,0.01,0.02,0.03,7.17,3.82,7.03
2017,15.1,13.48,4.51,5.67,0.48,0.62,0.06,0.16,0.46,0.65,7,0.48
2018,5.27,0.7,8.05,4.44,1.47,0.14,0.05,0,0.03,0.98,4.78,4.08
2019,8.81,14.25,6.99,2.51,4.47,0.18,0.01,0.24,1.33,0.16,1.27,7.16
